project name,pattern,spotbugs path,spotbugs lineno,rbugs path,rbugs lineno
biojava,DMI_HARDCODED_ABSOLUTE_FILENAME,demo/DemoMmtfWriter.java,37,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/demo/DemoMmtfWriter.java,37
biojava,VA_FORMAT_STRING_USES_NEWLINE,demo/DemoSymmetry.java,78,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/demo/DemoSymmetry.java,78
biojava,VA_FORMAT_STRING_USES_NEWLINE,demo/DemoSymmetry.java,102,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/demo/DemoSymmetry.java,102
biojava,CNT_ROUGH_CONSTANT_VALUE,org/biojava/nbio/structure/Element.java,59,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/Element.java,59
biojava,IIO_INEFFICIENT_INDEX_OF,org/biojava/nbio/structure/URLIdentifier.java,201,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/URLIdentifier.java,201
biojava,IIO_INEFFICIENT_LAST_INDEX_OF,org/biojava/nbio/structure/URLIdentifier.java,120,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/URLIdentifier.java,120
biojava,DM_NUMBER_CTOR,org/biojava/nbio/structure/align/ClusterAltAligs.java,68,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/ClusterAltAligs.java,68
biojava,DM_FP_NUMBER_CTOR,org/biojava/nbio/structure/align/StrucAligParameters.java,127,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/StrucAligParameters.java,128
biojava,DM_NUMBER_CTOR,org/biojava/nbio/structure/align/StrucAligParameters.java,127,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/StrucAligParameters.java,127
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/align/ce/CeCPMain.java,155,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/ce/CeCPMain.java,155
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/align/ce/CeCPMain.java,174,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/ce/CeCPMain.java,174
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/align/ce/CeCPMain.java,168,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/ce/CeCPMain.java,168
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/align/ce/CeCPMain.java,747,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/ce/CeCPMain.java,747
